protocol,role,source_batch,fire_family,crack_count,flat_response,in_legacy911,case_count
loco_perturbed_iso,train,batch_005,external_fire,12,False,True,2
loco_perturbed_iso,train,batch_005,external_fire,13,False,True,5
loco_perturbed_iso,train,batch_005,external_fire,14,False,True,2
loco_perturbed_iso,train,batch_005,external_fire,15,False,True,3
loco_perturbed_iso,train,batch_005,iso834,1,False,True,7
loco_perturbed_iso,train,batch_005,iso834,2,False,True,6
loco_perturbed_iso,train,batch_005,iso834,3,False,True,2
loco_perturbed_iso,train,batch_005,iso834,4,False,True,6
loco_perturbed_iso,train,batch_005,iso834,5,False,True,3
loco_perturbed_iso,train,batch_005,iso834,6,False,True,4
loco_perturbed_iso,train,batch_005,iso834,7,False,True,2
loco_perturbed_iso,train,batch_005,iso834,8,False,True,5
loco_perturbed_iso,train,batch_005,iso834,9,False,True,2
loco_perturbed_iso,train,batch_005,iso834,10,False,True,6
loco_perturbed_iso,train,batch_005,iso834,11,False,True,3
loco_perturbed_iso,train,batch_005,iso834,12,False,True,1
loco_perturbed_iso,train,batch_005,iso834,13,False,True,3
loco_perturbed_iso,train,batch_005,linear,1,False,True,2
loco_perturbed_iso,train,batch_005,linear,2,False,True,1
loco_perturbed_iso,train,batch_005,linear,3,False,True,1
loco_perturbed_iso,train,batch_005,linear,4,False,True,2
loco_perturbed_iso,train,batch_005,linear,5,False,True,5
loco_perturbed_iso,train,batch_005,linear,6,False,True,7
loco_perturbed_iso,train,batch_005,linear,7,False,True,5
loco_perturbed_iso,train,batch_005,linear,8,False,True,4
loco_perturbed_iso,train,batch_005,linear,9,False,True,2
loco_perturbed_iso,train,batch_005,linear,10,False,True,2
loco_perturbed_iso,train,batch_005,linear,11,False,True,4
loco_perturbed_iso,train,batch_005,linear,12,False,True,3
loco_perturbed_iso,train,batch_005,linear,13,False,True,5
loco_perturbed_iso,train,batch_005,linear,14,False,True,4
loco_perturbed_iso,train,batch_005,linear,15,False,True,5
loco_perturbed_iso,train,batch_005,log_variant,2,False,True,6
loco_perturbed_iso,train,batch_005,log_variant,3,False,True,4
loco_perturbed_iso,train,batch_005,log_variant,4,False,True,3
loco_perturbed_iso,train,batch_005,log_variant,5,False,True,3
loco_perturbed_iso,train,batch_005,log_variant,6,False,True,3
loco_perturbed_iso,train,batch_005,log_variant,7,False,True,5
loco_perturbed_iso,train,batch_005,log_variant,8,False,True,3
loco_perturbed_iso,train,batch_005,log_variant,9,False,True,5
loco_perturbed_iso,train,batch_005,log_variant,10,False,True,3
loco_perturbed_iso,train,batch_005,log_variant,11,False,True,1
loco_perturbed_iso,train,batch_005,log_variant,12,False,True,3
loco_perturbed_iso,train,batch_005,log_variant,13,False,True,1
loco_perturbed_iso,train,batch_005,log_variant,14,False,True,3
loco_perturbed_iso,train,batch_005,log_variant,15,False,True,3
loco_perturbed_iso,train,batch_005,plateau,1,False,True,6
loco_perturbed_iso,train,batch_005,plateau,2,False,True,2
loco_perturbed_iso,train,batch_005,plateau,3,False,True,4
loco_perturbed_iso,train,batch_005,plateau,4,False,True,4
loco_perturbed_iso,train,batch_005,plateau,5,False,True,5
loco_perturbed_iso,train,batch_005,plateau,6,False,True,3
loco_perturbed_iso,train,batch_005,plateau,7,False,True,5
loco_perturbed_iso,train,batch_005,plateau,8,False,True,9
loco_perturbed_iso,train,batch_005,plateau,9,False,True,4
loco_perturbed_iso,train,batch_005,plateau,10,False,True,2
loco_perturbed_iso,train,batch_005,plateau,11,False,True,4
loco_perturbed_iso,train,batch_005,plateau,12,False,True,1
loco_perturbed_iso,train,batch_005,plateau,13,False,True,2
loco_perturbed_iso,train,batch_005,plateau,14,False,True,2
loco_perturbed_iso,train,batch_005,plateau,15,False,True,1
loco_perturbed_iso,train,batch_005,smoldering,1,False,True,1
loco_perturbed_iso,train,batch_005,smoldering,1,True,False,4
loco_perturbed_iso,train,batch_005,smoldering,2,True,False,4
loco_perturbed_iso,train,batch_005,smoldering,3,True,False,7
loco_perturbed_iso,train,batch_005,smoldering,4,False,True,1
loco_perturbed_iso,train,batch_005,smoldering,4,True,False,3
loco_perturbed_iso,train,batch_005,smoldering,5,False,True,1
loco_perturbed_iso,train,batch_005,smoldering,5,True,False,5
loco_perturbed_iso,train,batch_005,smoldering,6,True,False,9
loco_perturbed_iso,train,batch_005,smoldering,7,False,True,1
loco_perturbed_iso,train,batch_005,smoldering,7,True,False,5
loco_perturbed_iso,train,batch_005,smoldering,8,True,False,8
loco_perturbed_iso,train,batch_005,smoldering,9,True,False,2
loco_perturbed_iso,train,batch_005,smoldering,10,False,True,1
loco_perturbed_iso,train,batch_005,smoldering,10,True,False,4
loco_perturbed_iso,train,batch_005,smoldering,11,False,True,1
loco_perturbed_iso,train,batch_005,smoldering,11,True,False,3
loco_perturbed_iso,train,batch_005,smoldering,12,True,False,6
loco_perturbed_iso,train,batch_005,smoldering,13,True,False,4
loco_perturbed_iso,train,batch_005,smoldering,14,False,True,2
loco_perturbed_iso,train,batch_005,smoldering,14,True,False,4
loco_perturbed_iso,train,batch_005,smoldering,15,False,True,1
loco_perturbed_iso,train,batch_005,smoldering,15,True,False,5
loco_perturbed_iso,validation,batch_004,astm_e119,1,False,True,2
loco_perturbed_iso,validation,batch_004,astm_e119,3,False,True,1
loco_perturbed_iso,validation,batch_004,astm_e119,4,False,True,1
loco_perturbed_iso,validation,batch_004,astm_e119,6,False,True,1
loco_perturbed_iso,validation,batch_004,astm_e119,8,False,True,1
loco_perturbed_iso,validation,batch_004,decay,1,False,True,1
loco_perturbed_iso,validation,batch_004,decay,2,False,True,3
loco_perturbed_iso,validation,batch_004,decay,6,False,True,1
loco_perturbed_iso,validation,batch_004,decay,8,False,True,1
loco_perturbed_iso,validation,batch_004,iso834,2,False,True,2
loco_perturbed_iso,validation,batch_004,iso834,3,False,True,5
loco_perturbed_iso,validation,batch_004,iso834,4,False,True,2
loco_perturbed_iso,validation,batch_004,iso834,5,False,True,2
loco_perturbed_iso,validation,batch_004,iso834,6,False,True,1
loco_perturbed_iso,validation,batch_004,iso834,8,False,True,1
loco_perturbed_iso,validation,batch_004,linear,1,False,True,1
loco_perturbed_iso,validation,batch_004,linear,2,False,True,1
loco_perturbed_iso,validation,batch_004,linear,3,False,True,1
loco_perturbed_iso,validation,batch_004,linear,4,False,True,2
loco_perturbed_iso,validation,batch_004,log_variant,2,False,True,1
loco_perturbed_iso,validation,batch_004,log_variant,6,False,True,1
loco_perturbed_iso,validation,batch_004,plateau,2,False,True,1
loco_perturbed_iso,validation,batch_004,plateau,3,False,True,1
loco_perturbed_iso,validation,batch_004,plateau,4,False,True,1
loco_perturbed_iso,validation,batch_004,plateau,5,False,True,2
loco_perturbed_iso,validation,batch_004,plateau,6,False,True,1
loco_perturbed_iso,validation,batch_005,astm_e119,1,False,True,1
loco_perturbed_iso,validation,batch_005,astm_e119,3,False,True,2
loco_perturbed_iso,validation,batch_005,astm_e119,4,False,True,1
loco_perturbed_iso,validation,batch_005,astm_e119,5,False,True,1
loco_perturbed_iso,validation,batch_005,astm_e119,7,False,True,2
loco_perturbed_iso,validation,batch_005,astm_e119,11,False,True,1
loco_perturbed_iso,validation,batch_005,astm_e119,13,False,True,1
loco_perturbed_iso,validation,batch_005,bilinear,3,False,True,1
loco_perturbed_iso,validation,batch_005,bilinear,4,False,True,2
loco_perturbed_iso,validation,batch_005,bilinear,6,False,True,1
loco_perturbed_iso,validation,batch_005,bilinear,7,False,True,2
loco_perturbed_iso,validation,batch_005,bilinear,8,False,True,1
loco_perturbed_iso,validation,batch_005,bilinear,9,False,True,1
loco_perturbed_iso,validation,batch_005,bilinear,10,False,True,2
loco_perturbed_iso,validation,batch_005,bilinear,13,False,True,1
loco_perturbed_iso,validation,batch_005,bilinear,14,False,True,1
loco_perturbed_iso,validation,batch_005,decay,1,False,True,1
loco_perturbed_iso,validation,batch_005,decay,2,False,True,1
loco_perturbed_iso,validation,batch_005,decay,3,False,True,1
loco_perturbed_iso,validation,batch_005,decay,4,False,True,1
loco_perturbed_iso,validation,batch_005,decay,5,False,True,1
loco_perturbed_iso,validation,batch_005,decay,9,False,True,3
loco_perturbed_iso,validation,batch_005,decay,10,False,True,2
loco_perturbed_iso,validation,batch_005,decay,11,False,True,1
loco_perturbed_iso,validation,batch_005,external_fire,3,False,True,1
loco_perturbed_iso,validation,batch_005,external_fire,4,False,True,1
loco_perturbed_iso,validation,batch_005,external_fire,5,False,True,1
loco_perturbed_iso,validation,batch_005,external_fire,8,False,True,2
loco_perturbed_iso,validation,batch_005,external_fire,9,False,True,1
loco_perturbed_iso,validation,batch_005,external_fire,11,False,True,2
loco_perturbed_iso,validation,batch_005,iso834,2,False,True,2
loco_perturbed_iso,validation,batch_005,iso834,3,False,True,1
loco_perturbed_iso,validation,batch_005,iso834,5,False,True,1
loco_perturbed_iso,validation,batch_005,iso834,6,False,True,1
loco_perturbed_iso,validation,batch_005,iso834,7,False,True,1
loco_perturbed_iso,validation,batch_005,iso834,8,False,True,2
loco_perturbed_iso,validation,batch_005,iso834,12,False,True,1
loco_perturbed_iso,validation,batch_005,iso834,13,False,True,1
loco_perturbed_iso,validation,batch_005,iso834,15,False,True,1
loco_perturbed_iso,validation,batch_005,linear,2,False,True,1
loco_perturbed_iso,validation,batch_005,linear,3,False,True,1
loco_perturbed_iso,validation,batch_005,linear,4,False,True,1
loco_perturbed_iso,validation,batch_005,linear,7,False,True,2
loco_perturbed_iso,validation,batch_005,linear,10,False,True,2
loco_perturbed_iso,validation,batch_005,linear,11,False,True,2
loco_perturbed_iso,validation,batch_005,linear,12,False,True,2
loco_perturbed_iso,validation,batch_005,linear,13,False,True,1
loco_perturbed_iso,validation,batch_005,linear,14,False,True,1
loco_perturbed_iso,validation,batch_005,linear,15,False,True,1
loco_perturbed_iso,validation,batch_005,log_variant,1,False,True,1
loco_perturbed_iso,validation,batch_005,log_variant,2,False,True,1
loco_perturbed_iso,validation,batch_005,log_variant,6,False,True,1
loco_perturbed_iso,validation,batch_005,log_variant,8,False,True,1
loco_perturbed_iso,validation,batch_005,log_variant,9,False,True,1
loco_perturbed_iso,validation,batch_005,log_variant,10,False,True,1
loco_perturbed_iso,validation,batch_005,log_variant,11,False,True,2
loco_perturbed_iso,validation,batch_005,log_variant,14,False,True,1
loco_perturbed_iso,validation,batch_005,plateau,1,False,True,1
loco_perturbed_iso,validation,batch_005,plateau,2,False,True,1
loco_perturbed_iso,validation,batch_005,plateau,5,False,True,2
loco_perturbed_iso,validation,batch_005,plateau,6,False,True,1
loco_perturbed_iso,validation,batch_005,plateau,7,False,True,1
loco_perturbed_iso,validation,batch_005,plateau,8,False,True,2
loco_perturbed_iso,validation,batch_005,plateau,9,False,True,1
loco_perturbed_iso,validation,batch_005,plateau,10,False,True,1
loco_perturbed_iso,validation,batch_005,smoldering,1,True,False,3
loco_perturbed_iso,validation,batch_005,smoldering,2,False,True,1
loco_perturbed_iso,validation,batch_005,smoldering,2,True,False,1
loco_perturbed_iso,validation,batch_005,smoldering,3,True,False,2
loco_perturbed_iso,validation,batch_005,smoldering,4,False,True,1
loco_perturbed_iso,validation,batch_005,smoldering,4,True,False,3
loco_perturbed_iso,validation,batch_005,smoldering,9,True,False,1
loco_perturbed_iso,validation,batch_005,smoldering,10,True,False,1
loco_perturbed_iso,validation,batch_005,smoldering,13,True,False,1
loco_perturbed_iso,validation,batch_005,smoldering,15,True,False,1
loco_perturbed_iso,test,batch_004,perturbed_iso,1,False,True,9
loco_perturbed_iso,test,batch_004,perturbed_iso,2,False,True,6
loco_perturbed_iso,test,batch_004,perturbed_iso,3,False,True,6
loco_perturbed_iso,test,batch_004,perturbed_iso,4,False,True,6
loco_perturbed_iso,test,batch_004,perturbed_iso,5,False,True,11
loco_perturbed_iso,test,batch_004,perturbed_iso,6,False,True,3
loco_perturbed_iso,test,batch_004,perturbed_iso,7,False,True,4
loco_perturbed_iso,test,batch_004,perturbed_iso,8,False,True,5
loco_perturbed_iso,test,batch_005,perturbed_iso,1,False,True,8
loco_perturbed_iso,test,batch_005,perturbed_iso,2,False,True,4
loco_perturbed_iso,test,batch_005,perturbed_iso,3,False,True,11
loco_perturbed_iso,test,batch_005,perturbed_iso,4,False,True,6
loco_perturbed_iso,test,batch_005,perturbed_iso,5,False,True,7
loco_perturbed_iso,test,batch_005,perturbed_iso,6,False,True,3
loco_perturbed_iso,test,batch_005,perturbed_iso,7,False,True,3
loco_perturbed_iso,test,batch_005,perturbed_iso,8,False,True,5
loco_perturbed_iso,test,batch_005,perturbed_iso,9,False,True,4
loco_perturbed_iso,test,batch_005,perturbed_iso,10,False,True,3
loco_perturbed_iso,test,batch_005,perturbed_iso,11,False,True,3
loco_perturbed_iso,test,batch_005,perturbed_iso,12,False,True,3
loco_perturbed_iso,test,batch_005,perturbed_iso,14,False,True,1
loco_plateau,train,batch_004,astm_e119,1,False,True,2
loco_plateau,train,batch_004,astm_e119,2,False,True,1
loco_plateau,train,batch_004,astm_e119,3,False,True,3
loco_plateau,train,batch_004,astm_e119,4,False,True,3
loco_plateau,train,batch_004,astm_e119,5,False,True,3
loco_plateau,train,batch_004,astm_e119,6,False,True,2
loco_plateau,train,batch_004,astm_e119,7,False,True,1
loco_plateau,train,batch_004,astm_e119,8,False,True,4
loco_plateau,train,batch_004,decay,1,False,True,5
loco_plateau,train,batch_004,decay,2,False,True,3
loco_plateau,train,batch_004,decay,3,False,True,4
loco_plateau,train,batch_004,decay,4,False,True,7
loco_plateau,train,batch_004,decay,5,False,True,4
loco_plateau,train,batch_004,decay,6,False,True,6
loco_plateau,train,batch_004,decay,7,False,True,6
loco_plateau,train,batch_004,decay,8,False,True,5
loco_plateau,train,batch_004,iso834,1,False,True,12
loco_plateau,train,batch_004,iso834,2,False,True,8
loco_plateau,train,batch_004,iso834,3,False,True,9
loco_plateau,train,batch_004,iso834,4,False,True,11
loco_plateau,train,batch_004,iso834,5,False,True,7
loco_plateau,train,batch_004,iso834,6,False,True,10
loco_plateau,train,batch_004,iso834,7,False,True,14
loco_plateau,train,batch_004,iso834,8,False,True,13
loco_plateau,train,batch_004,linear,1,False,True,9
loco_plateau,train,batch_004,linear,2,False,True,8
loco_plateau,train,batch_004,linear,3,False,True,5
loco_plateau,train,batch_004,linear,4,False,True,5
loco_plateau,train,batch_004,linear,5,False,True,7
loco_plateau,train,batch_004,linear,6,False,True,9
loco_plateau,train,batch_004,linear,7,False,True,8
loco_plateau,train,batch_004,linear,8,False,True,3
loco_plateau,train,batch_004,log_variant,1,False,True,1
loco_plateau,train,batch_004,log_variant,4,False,True,1
loco_plateau,train,batch_004,log_variant,5,False,True,4
loco_plateau,train,batch_004,log_variant,6,False,True,3
loco_plateau,train,batch_004,log_variant,7,False,True,1
loco_plateau,train,batch_004,log_variant,8,False,True,2
loco_plateau,train,batch_004,perturbed_iso,1,False,True,9
loco_plateau,train,batch_004,perturbed_iso,2,False,True,5
loco_plateau,train,batch_004,perturbed_iso,3,False,True,6
loco_plateau,train,batch_004,perturbed_iso,4,False,True,6
loco_plateau,train,batch_004,perturbed_iso,5,False,True,9
loco_plateau,train,batch_004,perturbed_iso,6,False,True,2
loco_plateau,train,batch_004,perturbed_iso,7,False,True,4
loco_plateau,train,batch_004,perturbed_iso,8,False,True,4
loco_plateau,train,batch_005,astm_e119,1,False,True,3
loco_plateau,train,batch_005,astm_e119,2,False,True,4
loco_plateau,train,batch_005,astm_e119,3,False,True,8
loco_plateau,train,batch_005,astm_e119,4,False,True,3
loco_plateau,train,batch_005,astm_e119,5,False,True,2
loco_plateau,train,batch_005,astm_e119,6,False,True,7
loco_plateau,train,batch_005,astm_e119,7,False,True,9
loco_plateau,train,batch_005,astm_e119,8,False,True,3
loco_plateau,train,batch_005,astm_e119,9,False,True,4
loco_plateau,train,batch_005,astm_e119,10,False,True,3
loco_plateau,train,batch_005,astm_e119,11,False,True,5
loco_plateau,train,batch_005,astm_e119,12,False,True,7
loco_plateau,train,batch_005,astm_e119,13,False,True,1
loco_plateau,train,batch_005,astm_e119,14,False,True,2
loco_plateau,train,batch_005,bilinear,1,False,True,6
loco_plateau,train,batch_005,bilinear,2,False,True,6
loco_plateau,train,batch_005,bilinear,3,False,True,5
loco_plateau,train,batch_005,bilinear,4,False,True,7
loco_plateau,train,batch_005,bilinear,5,False,True,3
loco_plateau,train,batch_005,bilinear,6,False,True,3
loco_plateau,train,batch_005,bilinear,7,False,True,3
loco_plateau,train,batch_005,bilinear,8,False,True,3
loco_plateau,train,batch_005,bilinear,9,False,True,5
loco_plateau,train,batch_005,bilinear,10,False,True,5
loco_plateau,train,batch_005,bilinear,11,False,True,3
